"Rank","Team","Points","Conference","Change","Previous.Rank","Previous.Ranking.Class","Year","Season","Gender","Division","Description","elevation","lat","long"
6,"WASHINGTON",213,"Pac-12",16,22,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",95,47.236,-122.55
7,"IOWA STATE",220,"Big 12",0,7,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",899,42.027,-93.647
8,"WISCONSIN",240,"Big Ten",24,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",883,43.077,-89.413
9,"COLORADO STATE",309,"Mountain West",0,9,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",5003,40.573,-105.087
10,"BOISE STATE",342,"Mountain West",9,19,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",2730,43.603,-116.206
11,"NC STATE",342,"ACC",6,17,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",404,35.785,-78.682
12,"WYOMING",371,"Mountain West",20,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",7234,41.315,-105.567
13,"OKLAHOMA STATE",378,"Big 12",16,29,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",938,36.127,-97.074
14,"NOTRE DAME",401,"ACC",18,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",725,41.699,-86.239
15,"OREGON",407,"Pac-12",-9,6,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",446,44.045,-123.073
16,"EASTERN KENTUCKY",430,"OVC",16,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",1004,37.735,-84.299
17,"OLE MISS",431,"SEC",1,18,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",509,34.365,-89.538
18,"INDIANA",469,"Big Ten",14,32,"Unranked",2018,"Cross Country","Men","I","FINAL - November 17th",771,39.178,-86.513
19,"MICHIGAN",483,"Big Ten",-9,10,"Ranked",2018,"Cross Country","Men","I","FINAL - November 17th",879,42.278,-83.738
